concept,label,categories_str,sources_str,certainty
plant,pos,grow plant,wn_hypernym manual_seed_data,not_certain
tree,pos,grow plant,wn_hypernym manual_seed_data,not_certain
corn,pos,grow plant relation,wn_hypernym manual_seed_data,not_certain
vegetable,pos,grow plant,wn_hypernym manual_seed_data,not_certain
mushroom,pos,grow,manual_seed_data,not_certain
hair,pos,grow,manual_seed_data,not_certain
problem,pos,grow,manual_seed_data,not_certain
business,pos,grow,manual_seed_data,not_certain
organization,pos,grow,manual_seed_data,not_certain
idea,pos,grow,manual_seed_data,not_certain
plan,pos,grow,manual_seed_data,not_certain
movement,pos,grow,manual_seed_data,not_certain
phenomenon,pos,grow,manual_seed_data,not_certain
friendship,pos,grow,manual_seed_data,not_certain
relationship,pos,grow relation,wn_hypernym manual_seed_data,not_certain
emotion,pos,grow,manual_seed_data,not_certain
happiness,pos,grow,manual_seed_data,not_certain
anger,pos,grow,manual_seed_data,not_certain
enthusiasm,pos,grow,manual_seed_data,not_certain
tool,neg,tool,wn_hypernym,not_certain
abrader,neg,tool,wn_hypernym,not_certain
abradant,neg,relation tool,wn_hypernym,not_certain
bender,neg,tool,wn_hypernym,not_certain
clincher,neg,tool,wn_hypernym,not_certain
comb,neg,tool,wn_hypernym,not_certain
cutting_implement,neg,tool,wn_hypernym,not_certain
drill,neg,tool,wn_hypernym,not_certain
eolith,neg,tool,wn_hypernym,not_certain
fork,neg,tool,wn_hypernym,not_certain
gang,neg,tool,wn_hypernym,not_certain
garden_tool,neg,tool,wn_hypernym,not_certain
lawn_tool,neg,tool,wn_hypernym,not_certain
grapnel,neg,tool,wn_hypernym,not_certain
grapple,neg,tool,wn_hypernym,not_certain
grappling_hook,neg,tool,wn_hypernym,not_certain
grappling_iron,neg,tool,wn_hypernym,not_certain
grappler,neg,tool,wn_hypernym,not_certain
hack,neg,vehicle tool,wn_hypernym,not_certain
hand_tool,neg,tool,wn_hypernym,not_certain
hoe,neg,tool,wn_hypernym,not_certain
jack,neg,relation tool,wn_hypernym,not_certain
Jaws_of_Life,neg,tool,wn_hypernym,not_certain
neolith,neg,tool,wn_hypernym,not_certain
paleolith,neg,tool,wn_hypernym,not_certain
muller,neg,tool,wn_hypernym,not_certain
pounder,neg,tool,wn_hypernym,not_certain
pestle,neg,tool,wn_hypernym,not_certain
plow,neg,tool,wn_hypernym,not_certain
plough,neg,tool,wn_hypernym,not_certain
power_tool,neg,tool,wn_hypernym,not_certain
punch,neg,relation tool,wn_hypernym,not_certain
puncher,neg,tool,wn_hypernym,not_certain
rake,neg,relation tool,wn_hypernym,not_certain
ram,neg,tool,wn_hypernym,not_certain
rounder,neg,tool,wn_hypernym,not_certain
saw_set,neg,tool,wn_hypernym,not_certain
shaping_tool,neg,tool,wn_hypernym,not_certain
strickle,neg,tool,wn_hypernym,not_certain
style,neg,tool,wn_hypernym,not_certain
stylus,neg,tool,wn_hypernym,not_certain
tamper,neg,tool,wn_hypernym,not_certain
tamp,neg,tool,wn_hypernym,not_certain
tamping_bar,neg,tool,wn_hypernym,not_certain
tap,neg,tool,wn_hypernym,not_certain
swage,neg,tool,wn_hypernym,not_certain
upset,neg,tool,wn_hypernym,not_certain
abrading_stone,neg,tool,wn_hypernym,not_certain
steel-wool_pad,neg,tool,wn_hypernym,not_certain
hatchel,neg,tool,wn_hypernym,not_certain
heckle,neg,tool,wn_hypernym,not_certain
bit,neg,tool,wn_hypernym,not_certain
blade,neg,tool,wn_hypernym,not_certain
cutter,neg,vehicle tool,wn_hypernym,not_certain
cutlery,neg,tool,wn_hypernym,not_certain
cutting_tool,neg,tool,wn_hypernym,not_certain
paper_cutter,neg,tool,wn_hypernym,not_certain
wimble,neg,tool,wn_hypernym,not_certain
gimlet,neg,relation tool,wn_hypernym,not_certain
auger,neg,tool,wn_hypernym,not_certain
screw_auger,neg,tool,wn_hypernym,not_certain
stone_drill,neg,tool,wn_hypernym,not_certain
bore_bit,neg,tool,wn_hypernym,not_certain
rock_drill,neg,tool,wn_hypernym,not_certain
borer,neg,tool,wn_hypernym,not_certain
brace_and_bit,neg,tool,wn_hypernym,not_certain
breast_drill,neg,tool,wn_hypernym,not_certain
core_drill,neg,tool,wn_hypernym,not_certain
dentist's_drill,neg,tool,wn_hypernym,not_certain
burr_drill,neg,tool,wn_hypernym,not_certain
hand_drill,neg,tool,wn_hypernym,not_certain
handheld_drill,neg,tool,wn_hypernym,not_certain
power_drill,neg,tool,wn_hypernym,not_certain
reamer,neg,tool,wn_hypernym,not_certain
trepan,neg,tool,wn_hypernym,not_certain
hayfork,neg,tool,wn_hypernym,not_certain
edger,neg,tool,wn_hypernym,not_certain
hedge_trimmer,neg,tool,wn_hypernym,not_certain
mower,neg,tool,wn_hypernym,not_certain
lawn_mower,neg,tool,wn_hypernym,not_certain
crampon,neg,tool,wn_hypernym,not_certain
crampoon,neg,tool,wn_hypernym,not_certain
awl,neg,tool,wn_hypernym,not_certain
bevel_square,neg,tool,wn_hypernym,not_certain
bevel,neg,tool,wn_hypernym,not_certain
bodkin,neg,tool,wn_hypernym,not_certain
threader,neg,tool,wn_hypernym,not_certain
starter,neg,tool,wn_hypernym,not_certain
crank,neg,tool,wn_hypernym,not_certain
dibble,neg,tool,wn_hypernym,not_certain
