concept,label,categories_str,sources_str,certainty
apricotis_red,neg,is_green,cslb_crowd_neg,certain
alligator,pos,is_green,cslb mcrae,not_certain
apple,pos,red is_green is_yellow green is_red,cslb conceptnet mcrae veale_simile,not_certain
artichoke,pos,is_green,cslb,not_certain
asparagus,pos,is_green,cslb mcrae,not_certain
aubergine,pos,is_green,cslb,not_certain
avocado,pos,is_green,cslb mcrae,not_certain
banana,pos,is_green is_yellow yellow,cslb conceptnet mcrae veale_simile,not_certain
bean,pos,is_green,cslb,not_certain
broccoli,pos,is_green green is_green green,cslb conceptnet mcrae manually_included,certain
brussel_sprouts,pos,is_green,cslb,not_certain
cabbage,pos,is_green is_red,cslb mcrae,not_certain
caterpillar,pos,is_green,cslb,not_certain
celery,pos,is_green,cslb,not_certain
courgette,pos,is_green is_yellow,cslb,not_certain
cricket,pos,is_green,cslb,not_certain
crocodile,pos,is_green,cslb,not_certain
cucumber,pos,is_green,cslb,not_certain
elm,pos,is_green,cslb,not_certain
eucalyptus,pos,is_green,cslb,not_certain
eye,pos,is_green is_blue,cslb,not_certain
fern,pos,is_green,cslb,not_certain
fir,pos,is_green,cslb,not_certain
frog,pos,is_green green,cslb conceptnet,not_certain
gherkin,pos,is_green,cslb,not_certain
grape,pos,is_green green is_red,cslb conceptnet,not_certain
grasshopper,pos,is_green,cslb,not_certain
hose,pos,is_green,cslb,not_certain
iguana,pos,is_green,cslb,not_certain
jeep,pos,is_green,cslb,not_certain
jelly,pos,is_green is_red,cslb,not_certain
kingfisher,pos,is_green is_blue,cslb veale_simile,not_certain
kiwi_fruit,pos,is_green,cslb,not_certain
leek,pos,is_green,cslb,not_certain
lettuce,pos,is_green,cslb,not_certain
lime,pos,is_green,cslb,not_certain
lizard,pos,is_green,cslb,not_certain
mango,pos,is_green is_yellow,cslb,not_certain
melon,pos,is_green is_yellow,cslb,not_certain
moss,pos,is_green,cslb,not_certain
olive,pos,is_green is_black,cslb,not_certain
parka,pos,is_green,cslb,not_certain
parsley,pos,is_green,cslb,not_certain
peacock,pos,is_green is_blue,cslb,not_certain
pear,pos,is_green,cslb,not_certain
peas,pos,is_green green,cslb conceptnet,not_certain
pine,pos,is_green,cslb,not_certain
pineapple,pos,is_green is_yellow,cslb,not_certain
rhubarb,pos,is_green is_red,cslb,not_certain
seaweed,pos,is_green,cslb,not_certain
spinach,pos,is_green is_green,cslb manually_included,certain
stick_insect,pos,is_green,cslb,not_certain
sycamore,pos,is_green,cslb,not_certain
tank,pos,is_green,cslb,not_certain
toad,pos,is_green,cslb,not_certain
tomato,pos,is_green is_red is_green is_red,cslb veale_simile manually_included,certain
tortoise,pos,is_green,cslb,not_certain
turtle,pos,is_green,cslb,not_certain
watermelon,pos,is_green is_red,cslb,not_certain
willow,pos,is_green,cslb,not_certain
