concept,label,categories_str,sources_str,certainty
bath,pos,is_hot,cslb,not_certain
candle,pos,is_hot,cslb,not_certain
coffee,pos,is_hot hot is_hot hot,cslb conceptnet manually_included,certain
coffee_machine,pos,is_hot,cslb,not_certain
coffee_pot,pos,is_hot,cslb,not_certain
kettle,pos,is_hot,cslb,not_certain
mug,pos,is_hot,cslb,not_certain
oven,pos,is_hot,cslb,not_certain
pie,pos,is_hot,cslb,not_certain
soup,pos,is_hot is_cold is_hot is_cold,cslb manually_included,certain
stove,pos,is_hot hot,cslb conceptnet,not_certain
tea,pos,is_hot is_cold is_hot is_cold,cslb manually_included,certain
toaster,pos,is_hot,cslb,not_certain
steam,pos,hot,conceptnet,not_certain
baking_oven,pos,hot,conceptnet,not_certain
boiling_water,pos,hot,conceptnet,not_certain
flame,pos,hot,conceptnet,not_certain
lava,pos,hot,conceptnet,not_certain
fire,pos,hot hot,conceptnet manually_included,certain
lightning,pos,hot,conceptnet,not_certain
steam_pipes,pos,hot,conceptnet,not_certain
almost_all_liquid_metals,pos,hot,conceptnet,not_certain
child_can_reason_fire,pos,hot,conceptnet,not_certain
cindy,pos,hot,conceptnet,not_certain
cup_holds_liquids_and_liquids,pos,hot,conceptnet,not_certain
fireplaces,pos,hot,conceptnet,not_certain
glowing_things,pos,hot,conceptnet,not_certain
hand_can_feel,pos,hot,conceptnet,not_certain
indian_curry,pos,hot,conceptnet,not_certain
in_italy,pos,hot,conceptnet,not_certain
inside_of_earth,pos,hot,conceptnet,not_certain
interior_of_earth,pos,hot,conceptnet,not_certain
jungles,pos,hot,conceptnet,not_certain
molten_lava,pos,hot,conceptnet,not_certain
people_feel_sleepier_when_weather,pos,hot,conceptnet,not_certain
people_sweat_more_when,pos,hot,conceptnet,not_certain
people_want_air_conditioning_when,pos,hot,conceptnet,not_certain
people_wear_less_clothing_when,pos,hot,conceptnet,not_certain
person_wants_water_when,pos,hot,conceptnet,not_certain
summertime,pos,hot,conceptnet,not_certain
things_burning,pos,hot,conceptnet,not_certain
tropical_regians,pos,hot,conceptnet,not_certain
venus,pos,hot,conceptnet,not_certain
winter_generally_cold_and_summer,pos,hot,conceptnet,not_certain
beer,neg,is_cold,cslb,not_certain
fridge,neg,is_cold,cslb,not_certain
ice_cream,neg,is_cold,cslb,not_certain
lemonade,neg,is_cold,cslb,not_certain
basement,neg,is_cold,mcrae,not_certain
winter,neg,cold,conceptnet,not_certain
canada,neg,cold,conceptnet,not_certain
in_winter,neg,cold,conceptnet,not_certain
north_pole,neg,cold,conceptnet,not_certain
space,neg,cold,conceptnet,not_certain
vinyl,neg,cold,conceptnet,not_certain
water_in_river,neg,cold,conceptnet,not_certain
alaska,neg,cold,conceptnet,not_certain
all_temperatures_below_zero,neg,cold,conceptnet,not_certain
another_way_to_say_bob,neg,cold,conceptnet,not_certain
bob,neg,cold,conceptnet,not_certain
cooling_device,neg,cold,conceptnet,not_certain
crisp_air_occurs_when_air,neg,cold,conceptnet,not_certain
dead_bodies,neg,cold,conceptnet,not_certain
during_most_winters_weather,neg,cold,conceptnet,not_certain
feel_bad_whel_feet,neg,cold,conceptnet,not_certain
frigid_air,neg,cold,conceptnet,not_certain
frozen_enchiladas,neg,cold,conceptnet,not_certain
ice_and_winters,neg,cold,conceptnet,not_certain
ice,neg,cold,conceptnet,not_certain
icecream,neg,cold,conceptnet,not_certain
icicles,neg,cold,conceptnet,not_certain
if_lacks_heat,neg,cold,conceptnet,not_certain
liquid_nitrogen,neg,cold,conceptnet,not_certain
moon,neg,cold,conceptnet,not_certain
noses,neg,cold,conceptnet,not_certain
ocean_water,neg,cold,conceptnet,not_certain
people,neg,cold,conceptnet,not_certain
people_go_inside_buildings_when,neg,cold,conceptnet,not_certain
people_wear_hats_when,neg,cold,conceptnet,not_certain
person_can_notice,neg,cold,conceptnet,not_certain
refrigerator_freezer,neg,cold,conceptnet,not_certain
river,neg,cold,conceptnet,not_certain
snow_falls_from_sky_when_weather,neg,cold,conceptnet,not_certain
snow_falls_when,neg,cold,conceptnet,not_certain
snowflakes_fall_when,neg,cold,conceptnet,not_certain
snow_not_hot_snow,neg,cold,conceptnet,not_certain
snows_when_temperature,neg,cold,conceptnet,not_certain
stars_hot_planets,neg,cold,conceptnet,not_certain
stethoscopes,neg,cold,conceptnet,not_certain
tile,neg,cold,conceptnet,not_certain
toes,neg,cold,conceptnet,not_certain
water,neg,cold,conceptnet,not_certain
winetrs,neg,cold,conceptnet,not_certain
heating,pos,pos,manually_included,certain
anger,pos,pos_met,manually_included,certain
argument,pos,pos_met,manually_included,certain
outfit,pos,pos_met,manually_included,certain
bikini,pos,pos_met,manually_included,certain
table,neg,neg,manually_included,certain
ice_cube,neg,neg,manually_included,certain
,neg,neg_met,manually_included,certain
happiness,neg,neg_met,manually_included,certain
thought,neg,neg_met,manually_included,certain
puzzle,neg,neg_met,manually_included,certain
problem,neg,neg_met,manually_included,certain
