concept,label,categories_str,sources_str,certainty
cherry,pos,fruit is_juicy,wn_hypernym cslb_crowd_pos,certain
shrimp,pos,is_food is_juicy is_food is_juicy,cslb cslb_crowd_pos manually_included,certain
currant,pos,fruit is_food is_juicy,cslb wn_hypernym cslb_crowd_pos,certain
apple,pos,fruit is_juicy,cslb wn_hypernym mcrae,not_certain
blueberry,pos,fruit is_juicy,cslb wn_hypernym mcrae,not_certain
grape,pos,fruit is_juicy,cslb wn_hypernym,not_certain
grapefruit,pos,fruit is_juicy,cslb wn_hypernym,not_certain
kiwi_fruit,pos,fruit is_juicy,cslb wn_hypernym,not_certain
lemon,pos,fruit is_juicy,cslb wn_hypernym,not_certain
lime,pos,fruit is_juicy,cslb wn_hypernym,not_certain
mango,pos,fruit is_juicy,cslb wn_hypernym,not_certain
melon,pos,fruit is_juicy,cslb wn_hypernym,not_certain
nectarine,pos,fruit is_juicy,cslb wn_hypernym,not_certain
orange,pos,fruit sweet is_juicy,cslb wn_hypernym conceptnet,not_certain
peach,pos,fruit is_juicy,cslb wn_hypernym,not_certain
pear,pos,fruit is_juicy,cslb wn_hypernym,not_certain
pineapple,pos,fruit is_juicy fruit is_juicy,cslb wn_hypernym manually_included,certain
plum,pos,fruit is_juicy,cslb wn_hypernym,not_certain
raspberry,pos,fruit is_juicy,cslb wn_hypernym,not_certain
satsuma,pos,fruit is_juicy,cslb wn_hypernym,not_certain
strawberry,pos,fruit is_juicy,cslb wn_hypernym,not_certain
tangerine,pos,fruit is_juicy,cslb wn_hypernym,not_certain
tomato,pos,vegetable is_juicy,cslb wn_hypernym,not_certain
watermelon,pos,fruit is_juicy,cslb wn_hypernym,not_certain
beets,pos,is_juicy,mcrae,not_certain
cantaloupe,pos,fruit is_juicy,wn_hypernym mcrae,not_certain
peaches,pos,juicy,conceptnet,not_certain
fruit,pos/neg,fruit,wn_hypernym,not_certain
pseudocarp,pos/neg,fruit,wn_hypernym,not_certain
accessory_fruit,pos/neg,fruit,wn_hypernym,not_certain
achene,pos/neg,fruit,wn_hypernym,not_certain
acorn,pos/neg,fruit,wn_hypernym,not_certain
aggregate_fruit,pos/neg,fruit,wn_hypernym,not_certain
syncarp,pos/neg,fruit,wn_hypernym,not_certain
multiple_fruit,pos/neg,fruit,wn_hypernym,not_certain
berry,pos/neg,fruit,wn_hypernym,not_certain
buckthorn_berry,pos/neg,fruit,wn_hypernym,not_certain
yellow_berry,pos/neg,fruit,wn_hypernym,not_certain
oil_nut,pos/neg,fruit,wn_hypernym,not_certain
buffalo_nut,pos/neg,fruit,wn_hypernym,not_certain
elk_nut,pos/neg,fruit,wn_hypernym,not_certain
chokecherry,pos/neg,fruit,wn_hypernym,not_certain
cubeb,pos/neg,fruit,wn_hypernym,not_certain
stone_fruit,pos/neg,fruit,wn_hypernym,not_certain
drupe,pos/neg,fruit,wn_hypernym,not_certain
ear,pos/neg,fruit,wn_hypernym,not_certain
spike,pos/neg,fruit,wn_hypernym,not_certain
capitulum,pos/neg,fruit,wn_hypernym,not_certain
edible_fruit,pos/neg,fruit,wn_hypernym,not_certain
fruitlet,pos/neg,fruit,wn_hypernym,not_certain
gourd,pos/neg,fruit,wn_hypernym,not_certain
hagberry,pos/neg,fruit,wn_hypernym,not_certain
rose_hip,pos/neg,fruit,wn_hypernym,not_certain
hip,pos/neg,fruit,wn_hypernym,not_certain
rosehip,pos/neg,fruit,wn_hypernym,not_certain
juniper_berry,pos/neg,fruit,wn_hypernym,not_certain
marasca,pos/neg,fruit,wn_hypernym,not_certain
May_apple,pos/neg,fruit,wn_hypernym,not_certain
olive,pos/neg,fruit is_food,cslb wn_hypernym,not_certain
seedpod,pos/neg,fruit,wn_hypernym,not_certain
pod,pos/neg,fruit,wn_hypernym,not_certain
pome,pos/neg,fruit,wn_hypernym,not_certain
false_fruit,pos/neg,fruit,wn_hypernym,not_certain
prairie_gourd,pos/neg,fruit,wn_hypernym,not_certain
pyxis,pos/neg,fruit,wn_hypernym,not_certain
pyxidium,pos/neg,fruit,wn_hypernym,not_certain
quandong,pos/neg,fruit,wn_hypernym,not_certain
blue_fig,pos/neg,fruit,wn_hypernym,not_certain
rowanberry,pos/neg,fruit,wn_hypernym,not_certain
schizocarp,pos/neg,fruit,wn_hypernym,not_certain
seed,pos/neg,fruit,wn_hypernym,not_certain
wild_cherry,pos/neg,fruit,wn_hypernym,not_certain
samara,pos/neg,fruit,wn_hypernym,not_certain
key,pos/neg,fruit,wn_hypernym,not_certain
