concept,label,categories_str,sources_str,certainty,cosine_centroid
split,neg,food,wn_hypernym,not_certain,0.04069409769894737
western,neg,food,wn_hypernym,not_certain,0.06847153959440247
negus,neg,food,wn_hypernym,not_certain,0.07262739922670439
sole,neg,food,wn_hypernym,not_certain,0.07613310356799803
carbonara,neg,food,wn_hypernym,not_certain,0.07794657225929649
romaine,neg,food,wn_hypernym,not_certain,0.08069525493405612
ail,neg,food,wn_hypernym,not_certain,0.08206019846977447
cos,neg,food,wn_hypernym,not_certain,0.08428929899563292
starter,neg,food,wn_hypernym,not_certain,0.0842965140073918
penne,neg,food,wn_hypernym,not_certain,0.08471033522279864
pollock,neg,food,wn_hypernym,not_certain,0.08496552401878327
side,neg,food,wn_hypernym,not_certain,0.08504433371703644
flank,neg,food,wn_hypernym,not_certain,0.08582078113293268
sparling,neg,food,wn_hypernym,not_certain,0.0859033116409747
marc,neg,food,wn_hypernym,not_certain,0.08612082460531224
frank,neg,food,wn_hypernym,not_certain,0.08829519234222641
roux,neg,food,wn_hypernym,not_certain,0.08952835269667168
margarita,neg,food,wn_hypernym,not_certain,0.09047416908728209
junket,neg,food,wn_hypernym,not_certain,0.0907070561589624
bass,neg,food,wn_hypernym,not_certain,0.09126073592510317
bishop,neg,food,wn_hypernym,not_certain,0.0914577390859878
pate,neg,food,wn_hypernym,not_certain,0.09240558270009987
bartlett,neg,food,wn_hypernym,not_certain,0.09255764192199392
refresher,neg,food,wn_hypernym,not_certain,0.09274445914801682
centre,neg,food,wn_hypernym,not_certain,0.09417888354245241
bonito,neg,food,wn_hypernym,not_certain,0.0943412401355903
salmi,neg,food,wn_hypernym,not_certain,0.09434140374928507
cole,neg,food,wn_hypernym,not_certain,0.095175761875349
center,neg,food,wn_hypernym,not_certain,0.0954455021047051
round,neg,food,wn_hypernym,not_certain,0.09722271348591363
mate,neg,food,wn_hypernym,not_certain,0.09759930034367102
muscat,neg,food,wn_hypernym,not_certain,0.09927762785919705
graham,neg,food,wn_hypernym,not_certain,0.10091758142302157
savoy,neg,food,wn_hypernym,not_certain,0.10121692844784234
commissariat,neg,food,wn_hypernym,not_certain,0.10209216560530632
concentrate,neg,food,wn_hypernym,not_certain,0.10231560601173574
cisco,neg,food,wn_hypernym,not_certain,0.10273056125381853
geneva,neg,food,wn_hypernym,not_certain,0.10308135456950594
nacho,neg,food,wn_hypernym,not_certain,0.1049362798478249
wiener,neg,food,wn_hypernym,not_certain,0.10582757714202383
murphy,neg,food,wn_hypernym,not_certain,0.10591530494907808
milt,neg,food,wn_hypernym,not_certain,0.10629886288345969
ade,neg,food,wn_hypernym,not_certain,0.10709092656358064
mayo,neg,food,wn_hypernym,not_certain,0.10783641551714757
macon,neg,food,wn_hypernym,not_certain,0.10870293100268683
frankfurter,neg,food,wn_hypernym,not_certain,0.10870555947145309
freestone,neg,food,wn_hypernym,not_certain,0.1094519078457236
farina,neg,food,wn_hypernym,not_certain,0.1096013580141352
gammon,neg,food,wn_hypernym,not_certain,0.10973829623026607
joint,neg,food,wn_hypernym,not_certain,0.11079570184619873
nan,neg,food,wn_hypernym,not_certain,0.1112937310386011
tiffin,neg,food,wn_hypernym,not_certain,0.11170191811506573
port,neg,food,wn_hypernym,not_certain,0.1127074846163931
bismark,neg,food,wn_hypernym,not_certain,0.11308248825779928
frier,neg,food,wn_hypernym,not_certain,0.1131405134875746
mocha,neg,food,wn_hypernym,not_certain,0.11328521446713849
cup,neg,food,wn_hypernym,not_certain,0.11332409029392296
cusk,neg,food,wn_hypernym,not_certain,0.1139102420220159
dainty,neg,food,wn_hypernym,not_certain,0.11426706428041877
undercut,neg,food,wn_hypernym,not_certain,0.11441698978286695
saskatoon,neg,food,wn_hypernym,not_certain,0.11551437925421473
martini,neg,food,wn_hypernym,not_certain,0.11669729164678991
pompano,neg,food,wn_hypernym,not_certain,0.11780987214472305
sultana,neg,food,wn_hypernym,not_certain,0.1178324428959331
clementine,neg,food,wn_hypernym,not_certain,0.1186389333054051
torpedo,neg,food,wn_hypernym,not_certain,0.11877033322465484
demerara,neg,food,wn_hypernym,not_certain,0.11884609481024305
mouton,neg,food,wn_hypernym,not_certain,0.11932816541176497
fryer,neg,food,wn_hypernym,not_certain,0.12043219284523286
charlotte,neg,food,wn_hypernym,not_certain,0.12060207764994336
danish,neg,food,wn_hypernym,not_certain,0.12183926070504249
choc,neg,food,wn_hypernym,not_certain,0.1226821060239343
shad,neg,food,wn_hypernym,not_certain,0.12285599916460574
rose,neg,food,wn_hypernym,not_certain,0.12327976580052631
anjou,neg,food,wn_hypernym,not_certain,0.1250566594536367
bologna,neg,food,wn_hypernym,not_certain,0.12557068012746456
flan,neg,food,wn_hypernym,not_certain,0.12644246776527446
board,neg,food,wn_hypernym,not_certain,0.12677876748112338
dowdy,neg,food,wn_hypernym,not_certain,0.12788572675508425
dill,neg,food,wn_hypernym,not_certain,0.128065036348319
tuck,neg,food,wn_hypernym,not_certain,0.1280983553464589
cling,neg,food,wn_hypernym,not_certain,0.1292619399384948
filling,neg,food,wn_hypernym,not_certain,0.12991881519932416
eclair,neg,food,wn_hypernym,not_certain,0.1310846393813897
marang,neg,food,wn_hypernym,not_certain,0.13110605722347926
souffle,neg,food,wn_hypernym,not_certain,0.13112878424475657
sprinkles,neg,food,wn_hypernym,not_certain,0.13127902522414545
chuck,neg,food,wn_hypernym,not_certain,0.13157542771601724
entree,neg,food,wn_hypernym,not_certain,0.13159128836478814
bosc,neg,food,wn_hypernym,not_certain,0.1316207089934451
suds,neg,food,wn_hypernym,not_certain,0.13172395503324683
curacao,neg,food,wn_hypernym,not_certain,0.13178246366905627
perry,neg,food,wn_hypernym,not_certain,0.13178609922806359
rue,neg,food,wn_hypernym,not_certain,0.13221727307798964
wedge,neg,food,wn_hypernym,not_certain,0.1322782173343782
cayenne,neg,food,wn_hypernym,not_certain,0.1325749028612201
kibble,neg,food,wn_hypernym,not_certain,0.1337873184003815
pone,neg,food,wn_hypernym,not_certain,0.13388622260495225
kail,neg,food,wn_hypernym,not_certain,0.13400773702593016
tamale,neg,food,wn_hypernym,not_certain,0.13440245792816857
baba,neg,food,wn_hypernym,not_certain,0.13446494727451486
patty,neg,food,wn_hypernym,not_certain,0.1351973667463488
jack,neg,food,wn_hypernym,not_certain,0.13566610682782407
zep,neg,food,wn_hypernym,not_certain,0.1356731364053189
timothy,neg,food,wn_hypernym,not_certain,0.13662746177853372
kale,neg,food,wn_hypernym,not_certain,0.13684822903129268
pollack,neg,food,wn_hypernym,not_certain,0.13722756635194217
leg,neg,food,wn_hypernym,not_certain,0.13727769658550157
basil,neg,food,wn_hypernym,not_certain,0.13770116319847528
slop,neg,food,wn_hypernym,not_certain,0.13770242308838504
bluefish,neg,food,wn_hypernym,not_certain,0.13847792667365816
parfait,neg,food,wn_hypernym,not_certain,0.1390126706673653
pike,neg,food,wn_hypernym,not_certain,0.1390234688991443
calamari,neg,food,wn_hypernym,not_certain,0.1391627527089639
chou,neg,food,wn_hypernym,not_certain,0.13944376423167779
sub,neg,food,wn_hypernym,not_certain,0.13975918250992522
troche,neg,food,wn_hypernym,not_certain,0.13983195228189899
orange,neg,food,wn_hypernym,not_certain,0.14069844867246128
tangerine,neg,food,wn_hypernym,not_certain,0.14073590676817366
arak,neg,food,wn_hypernym,not_certain,0.14078498642329837
date,neg,food,wn_hypernym,not_certain,0.1408559361622519
julienne,neg,food,wn_hypernym,not_certain,0.14108869110139652
white,neg,food,wn_hypernym,not_certain,0.1414484292718646
bouillon,neg,food,wn_hypernym,not_certain,0.14170135043040355
roe,neg,food,wn_hypernym,not_certain,0.14197016494475295
gorgonzola,neg,food,wn_hypernym,not_certain,0.14206032350899886
shin,neg,food,wn_hypernym,not_certain,0.14218791986208137
dahl,neg,food,wn_hypernym,not_certain,0.142491502427828
fillet,neg,food,wn_hypernym,not_certain,0.14286917942088317
bleu,neg,food,wn_hypernym,not_certain,0.14308187011789628
latte,neg,food,wn_hypernym,not_certain,0.14318030747924196
leek,neg,food,wn_hypernym,not_certain,0.14321763845585256
flageolet,neg,food,wn_hypernym,not_certain,0.1433247041425085
agar,neg,food,wn_hypernym,not_certain,0.14371552107174268
boeuf,neg,food,wn_hypernym,not_certain,0.14411712155117554
bap,neg,food,wn_hypernym,not_certain,0.14431512033927363
collins,neg,food,wn_hypernym,not_certain,0.14432743851572938
angelica,neg,food,wn_hypernym,not_certain,0.14463659243051016
pap,neg,food,wn_hypernym,not_certain,0.14473901353917654
capon,neg,food,wn_hypernym,not_certain,0.14514846394723283
pita,neg,food,wn_hypernym,not_certain,0.1459453139049525
benedictine,neg,food,wn_hypernym,not_certain,0.14633770336211996
cappelletti,neg,food,wn_hypernym,not_certain,0.14754379250660177
hackberry,neg,food,wn_hypernym,not_certain,0.1477850148860981
snap,neg,food,wn_hypernym,not_certain,0.14790266349602801
mint,neg,food,wn_hypernym,not_certain,0.14803802720564851
porter,neg,food,wn_hypernym,not_certain,0.14817064319959752
chile,neg,food,wn_hypernym,not_certain,0.14859114739104679
swede,neg,food,wn_hypernym,not_certain,0.14895365841329425
jak,neg,food,wn_hypernym,not_certain,0.1489654451895673
ham,neg,food,wn_hypernym,not_certain,0.1491407391487329
tunny,neg,food,wn_hypernym,not_certain,0.1491819617098019
puffer,neg,food,wn_hypernym,not_certain,0.1493423569227309
haslet,neg,food,wn_hypernym,not_certain,0.14947609003701362
snapper,neg,food,wn_hypernym,not_certain,0.14992877908659352
hake,neg,food,wn_hypernym,not_certain,0.14993495934897041
bourguignon,neg,food,wn_hypernym,not_certain,0.15004545315660514
veau,neg,food,wn_hypernym,not_certain,0.15026480746413162
chine,neg,food,wn_hypernym,not_certain,0.15039345002111879
porgy,neg,food,wn_hypernym,not_certain,0.1509537064858917
satsuma,neg,food,wn_hypernym,not_certain,0.15113009369208102
rusk,neg,food,wn_hypernym,not_certain,0.15190237316271674
poulet,neg,food,wn_hypernym,not_certain,0.15228178207820467
hyson,neg,food,wn_hypernym,not_certain,0.15262808410391301
crappie,neg,food,wn_hypernym,not_certain,0.15275460170805397
rosemary,neg,food,wn_hypernym,not_certain,0.15290985161604007
shoulder,neg,food,wn_hypernym,not_certain,0.15310579179356767
squash,neg,food,wn_hypernym,not_certain,0.1532666944409709
mulligan,neg,food,wn_hypernym,not_certain,0.1533305475309047
bonbon,neg,food,wn_hypernym,not_certain,0.15339058291067026
submarine,neg,food,wn_hypernym,not_certain,0.15355172291139732
curry,neg,food,wn_hypernym,not_certain,0.1536741713335624
emperor,neg,food,wn_hypernym,not_certain,0.1537033894273915
cordial,neg,food,wn_hypernym,not_certain,0.15375336059501174
taffy,neg,food,wn_hypernym,not_certain,0.15376579480490976
stinger,neg,food,wn_hypernym,not_certain,0.15382659642552626
shank,neg,food,wn_hypernym,not_certain,0.1539969871376653
finnan,neg,food,wn_hypernym,not_certain,0.15412186607067863
nipa,neg,food,wn_hypernym,not_certain,0.15435918381656724
curacoa,neg,food,wn_hypernym,not_certain,0.15448598534113306
herring,neg,food,wn_hypernym,not_certain,0.15472814021335113
groats,neg,food,wn_hypernym,not_certain,0.1559030852635565
spread,neg,food,wn_hypernym,not_certain,0.15620353372207113
flip,neg,food,wn_hypernym,not_certain,0.15673059093876118
jimmies,neg,food,wn_hypernym,not_certain,0.15693380563047254
chard,neg,food,wn_hypernym,not_certain,0.1569698338893935
grenadine,neg,food,wn_hypernym,not_certain,0.15713721501640157
duff,neg,food,wn_hypernym,not_certain,0.15731500760607275
brat,neg,food,wn_hypernym,not_certain,0.15773375345921528
winkle,neg,food,wn_hypernym,not_certain,0.1584654769015857
jawbreaker,neg,food,wn_hypernym,not_certain,0.15901221375347283
whiting,neg,food,wn_hypernym,not_certain,0.15930817065399389
manhattan,neg,food,wn_hypernym,not_certain,0.159651990710859
taro,neg,food,wn_hypernym,not_certain,0.15995888506161876
babka,neg,food,wn_hypernym,not_certain,0.16005931523553013
turkey,neg,food,wn_hypernym,not_certain,0.16032625407669746
cut,neg,food,wn_hypernym,not_certain,0.16044518737828067
special,neg,food,wn_hypernym,not_certain,0.16048699908019068
croaker,neg,food,wn_hypernym,not_certain,0.16121865880132907
steamer,neg,food,wn_hypernym,not_certain,0.16128411203731569
hock,neg,food,wn_hypernym,not_certain,0.16135188083607385
soya,neg,food,wn_hypernym,not_certain,0.16140601068966223
nonpareil,neg,food,wn_hypernym,not_certain,0.16175050573754332
raita,neg,food,wn_hypernym,not_certain,0.16175377690189185
sailfish,neg,food,wn_hypernym,not_certain,0.16186318289625384
conserves,neg,food,wn_hypernym,not_certain,0.16189667712310787
crape,neg,food,wn_hypernym,not_certain,0.1620690431391988
mush,neg,food,wn_hypernym,not_certain,0.16213048494184434
quince,neg,food,wn_hypernym,not_certain,0.16213746544026914
gigot,neg,food,wn_hypernym,not_certain,0.16291873532775264
kirsch,neg,food,wn_hypernym,not_certain,0.1632730363565183
saki,neg,food,wn_hypernym,not_certain,0.16333141621354222
chow,neg,food,wn_hypernym,not_certain,0.16376010154176712
mincemeat,neg,food,wn_hypernym,not_certain,0.16393009727374502
dip,neg,food,wn_hypernym,not_certain,0.16407360243721292
collation,neg,food,wn_hypernym,not_certain,0.16410201787000464
saffron,neg,food,wn_hypernym,not_certain,0.16416796439853965
chip,neg,food,wn_hypernym,not_certain,0.16418319967393302
tabasco,neg,food,wn_hypernym,not_certain,0.1648665641560198
napoleon,neg,food,wn_hypernym,not_certain,0.16499729370493618
falafel,neg,food,wn_hypernym,not_certain,0.1651163407188735
sack,neg,food,wn_hypernym,not_certain,0.16523335980959883
aubergine,neg,food,wn_hypernym,not_certain,0.1659729958474335
millet,neg,food,wn_hypernym,not_certain,0.1662203197559517
plate,neg,food,wn_hypernym,not_certain,0.16624290173936912
bisque,neg,food,wn_hypernym,not_certain,0.1666677000370779
kingfish,neg,food,wn_hypernym,not_certain,0.16678674063639565
borscht,neg,food,wn_hypernym,not_certain,0.16678677875414324
sardine,neg,food,wn_hypernym,not_certain,0.16684084453965298
bream,neg,food,wn_hypernym,not_certain,0.16689183476996805
congo,neg,food,wn_hypernym,not_certain,0.16689187762116056
pickerel,neg,food,wn_hypernym,not_certain,0.16700727481655214
naan,neg,food,wn_hypernym,not_certain,0.16732703825945708
iceberg,neg,food,wn_hypernym,not_certain,0.16747757279104333
medium,neg,food,wn_hypernym,not_certain,0.16774181467414612
bock,neg,food,wn_hypernym,not_certain,0.16832600863744226
redfish,neg,food,wn_hypernym,not_certain,0.16843604805610776
fixings,neg,food,wn_hypernym,not_certain,0.16859051234751954
allemande,neg,food,wn_hypernym,not_certain,0.16877953836863357
bannock,neg,food,wn_hypernym,not_certain,0.16880815678481856
mast,neg,food,wn_hypernym,not_certain,0.16919667752536366
citron,neg,food,wn_hypernym,not_certain,0.16952946398186491
ice,neg,food,wn_hypernym,not_certain,0.1695606244328302
gyro,neg,food,wn_hypernym,not_certain,0.16982173112920182
escargot,neg,food,wn_hypernym,not_certain,0.17048429539594093
jam,neg,food,wn_hypernym,not_certain,0.17050593336086547
bran,neg,food,wn_hypernym,not_certain,0.17069046371568442
java,neg,food,wn_hypernym,not_certain,0.17073450115899447
course,neg,food,wn_hypernym,not_certain,0.17074847661162446
waffle,neg,food,wn_hypernym,not_certain,0.1707817693956736
whip,neg,food,wn_hypernym,not_certain,0.17095892044518476
jumble,neg,food,wn_hypernym,not_certain,0.17102347033117773
batter,neg,food,wn_hypernym,not_certain,0.1712884840371452
cherry,neg,food,wn_hypernym,not_certain,0.1714299583204343
ghee,neg,food,wn_hypernym,not_certain,0.17147785323458564
jello,neg,food,wn_hypernym,not_certain,0.17169597975969852
swordfish,neg,food,wn_hypernym,not_certain,0.17169953229272594
crisp,neg,food,wn_hypernym,not_certain,0.17219622248292638
chili,neg,food,wn_hypernym,not_certain,0.172236282870428
preserve,neg,food,wn_hypernym,not_certain,0.1725068447276983
cauliflower,neg,food,wn_hypernym,not_certain,0.17269588317453288
treat,neg,food,wn_hypernym,not_certain,0.17273906508076992
berry,neg,food,wn_hypernym,not_certain,0.1729580193332521
stockfish,neg,food,wn_hypernym,not_certain,0.17303993300907783
lozenge,neg,food,wn_hypernym,not_certain,0.17306815509459295
kipper,neg,food,wn_hypernym,not_certain,0.1733343057425856
stout,neg,food,wn_hypernym,not_certain,0.1734399478272695
mold,neg,food,wn_hypernym,not_certain,0.17371232677690704
smelt,neg,food,wn_hypernym,not_certain,0.17385798233320116
beefsteak,neg,food,wn_hypernym,not_certain,0.174278301775217
sidecar,neg,food,wn_hypernym,not_certain,0.17432829580043804
chilly,neg,food,wn_hypernym,not_certain,0.1747729076044687
wrap,neg,food,wn_hypernym,not_certain,0.174839442508172
goody,neg,food,wn_hypernym,not_certain,0.1749028192750837
cobbler,neg,food,wn_hypernym,not_certain,0.17494304933327148
cod,neg,food,wn_hypernym,not_certain,0.1749464476734158
ananas,neg,food,wn_hypernym,not_certain,0.175044524078592
afters,neg,food,wn_hypernym,not_certain,0.1750764294589711
hamburger,neg,food,wn_hypernym,not_certain,0.175219338861139
alewife,neg,food,wn_hypernym,not_certain,0.1754080190621602
brunch,neg,food,wn_hypernym,not_certain,0.1755402219736937
copra,neg,food,wn_hypernym,not_certain,0.17559924395287355
brittle,neg,food,wn_hypernym,not_certain,0.1756337158474267
paddy,neg,food,wn_hypernym,not_certain,0.1756551082510841
pasty,neg,food,wn_hypernym,not_certain,0.17586993753487518
turnover,neg,food,wn_hypernym,not_certain,0.175974991053971
sling,neg,food,wn_hypernym,not_certain,0.17616068126719522
salami,neg,food,wn_hypernym,not_certain,0.176497400342169
spice,neg,food,wn_hypernym,not_certain,0.17651756690756795
sage,neg,food,wn_hypernym,not_certain,0.17654051593284206
divinity,neg,food,wn_hypernym,not_certain,0.17656364918740103
blowfish,neg,food,wn_hypernym,not_certain,0.1768047179829088
rickey,neg,food,wn_hypernym,not_certain,0.1773554867316661
quiche,neg,food,wn_hypernym,not_certain,0.17794131105134223
edda,neg,food,wn_hypernym,not_certain,0.17797011394405354
fatback,neg,food,wn_hypernym,not_certain,0.17805868755563248
mousse,neg,food,wn_hypernym,not_certain,0.17810328433325823
fennel,neg,food,wn_hypernym,not_certain,0.17819498899344077
bomber,neg,food,wn_hypernym,not_certain,0.17825742950562787
blackheart,neg,food,wn_hypernym,not_certain,0.1783165874945751
morello,neg,food,wn_hypernym,not_certain,0.17878836978555382
savarin,neg,food,wn_hypernym,not_certain,0.1789356264939162
turbot,neg,food,wn_hypernym,not_certain,0.17935498940539082
clambake,neg,food,wn_hypernym,not_certain,0.179396339570491
twister,neg,food,wn_hypernym,not_certain,0.17952419284784166
sherbet,neg,food,wn_hypernym,not_certain,0.179571943544194
panoche,neg,food,wn_hypernym,not_certain,0.17979062512404773
sinker,neg,food,wn_hypernym,not_certain,0.17979786935286451
vintage,neg,food,wn_hypernym,not_certain,0.17997870460614318
sugarloaf,neg,food,wn_hypernym,not_certain,0.18023790633560216
leftovers,neg,food,wn_hypernym,not_certain,0.1806249600461866
hoagy,neg,food,wn_hypernym,not_certain,0.18071088789247142
rock,neg,food,wn_hypernym,not_certain,0.1807910285447269
mead,neg,food,wn_hypernym,not_certain,0.18108281569294044
