concept,label,categories_str,sources_str,certainty,cosine_centroid
deal,pos,wood,wn_parts,not_certain,0.10913497553697868
dates,neg,made_of_wood,cslb_crowd_neg,certain,0.1423600115010873
saw,pos,made_of_wood,cslb,not_certain,0.1505083244921216
lag,pos,wood,wn_parts,not_certain,0.1624530366745444
ruler,pos,made_of_wood,cslb,not_certain,0.16471908556478781
club,pos,made_of_wood,cslb,not_certain,0.1666938697402504
balk,pos,wood,wn_parts,not_certain,0.19871721487828586
stock,pos,wood,wn_parts,not_certain,0.2007840307326808
board,pos,wood,wn_parts,not_certain,0.20268601527048266
wale,pos,wood,wn_parts,not_certain,0.21176522884767993
throne,pos,made_of_wood,cslb,not_certain,0.21284330151130365
trave,pos,wood,wn_parts,not_certain,0.2147057330579284
castle,pos,made_of_wood,cslb,not_certain,0.2247221316772467
gong,neg,made_of_wood,cslb_crowd_neg,certain,0.22901178675767833
traverse,pos,wood,wn_parts,not_certain,0.23510341563590292
louvre,pos,wood,wn_parts,not_certain,0.23733987524004102
pale,pos,wood,wn_parts,not_certain,0.23829047355201244
shoring,pos,wood,wn_parts,not_certain,0.24203135750926583
puppet,pos,made_of_wood,cslb,not_certain,0.24619444821587147
mop,pos,made_of_wood,cslb,not_certain,0.24868184260769696
bell,neg,made_of_wood,cslb_crowd_neg,certain,0.250662960043032
bench,pos,made_of_wood,cslb,not_certain,0.2532355212907527
shore,pos,wood,wn_parts,not_certain,0.2543499290820688
header,pos,wood,wn_parts,not_certain,0.25561244446577086
strip,pos,wood,wn_parts,not_certain,0.2561495587681418
rock,neg,made_of_wood,cslb_crowd_neg,certain,0.2561944537233676
tie,pos,wood,wn_parts,not_certain,0.2606965491568412
stringer,pos,wood,wn_parts,not_certain,0.2612487081386236
fin,pos,wood,wn_parts,not_certain,0.2622740186730414
yoyo,pos,made_of_wood,cslb,not_certain,0.2629540336754966
laptop,neg,neg,manually_included,certain,0.2637445366455028
cork,pos,made_of_wood,cslb,not_certain,0.2641348512400056
gunnel,pos,wood,wn_parts,not_certain,0.2642365003849914
picket,pos,wood,wn_parts,not_certain,0.2661668511283784
hutch,pos,made_of_wood,cslb,not_certain,0.2681239287397356
pen,neg,neg,manually_included,certain,0.2693021969424925
stave,pos,wood,wn_parts,not_certain,0.2707059064702816
fir,pos,made_of_wood,cslb,not_certain,0.2714728290649134
gate,pos,made_of_wood,cslb,not_certain,0.2725181876298905
anchor,neg,made_of_wood,cslb_crowd_neg,certain,0.27287614969276486
table,pos,made_of_wood made_of_wood,cslb manually_included,certain,0.272990305220103
ridge,pos,wood,wn_parts,not_certain,0.27421365826913296
chair,pos,made_of_wood made_of_wood,cslb manually_included,certain,0.2764058182040001
trimmer,pos,wood,wn_parts,not_certain,0.27684291363343844
cradle,pos,made_of_wood,cslb_crowd_pos cslb,certain,0.27805295937244795
recorder,pos,made_of_wood,cslb,not_certain,0.2783967385002852
elm,pos,made_of_wood,cslb,not_certain,0.27853736253722483
splat,pos,wood,wn_parts,not_certain,0.2817149988180336
armchair,pos,made_of_wood,cslb,not_certain,0.2830730280512218
