concept,label,categories_str,sources_str,certainty,cosine_centroid
discussion,neg,neg_met,manually_included,certain,0.06681292368051166
newspaper,neg,is_black,cslb,not_certain,0.08917301033974291
recorder,neg,is_black,cslb,not_certain,0.10634714948887804
tyre,neg,is_black,cslb,not_certain,0.12721369098808305
problem,neg,neg_met,manually_included,certain,0.12875203197019588
football,neg,is_black,cslb,not_certain,0.1326249099181691
crypt,neg,is_black,veale_simile,not_certain,0.14539690650353396
bus,neg,is_yellow is_red,cslb mcrae,not_certain,0.14847961582357094
jeeps,neg,red,conceptnet,not_certain,0.15282899257833063
cannon,neg,is_black,mcrae,not_certain,0.16345801471016222
leafs,neg,green,conceptnet,not_certain,0.1687954463891183
wines,neg,red,conceptnet,not_certain,0.16915276821195788
coal,neg,is_black,veale_simile,not_certain,0.17083408491771093
limes,neg,green,conceptnet,not_certain,0.17286992567499174
miner,neg,is_black,veale_simile,not_certain,0.1757787842768335
thoughts,neg,neg_met,manually_included,certain,0.1759068532846934
blackboard,neg,is_black,veale_simile,not_certain,0.1769899014925733
world,pos,blue,conceptnet,not_certain,0.17733143049653777
ambulance,neg,is_red,mcrae,not_certain,0.18126041924554764
beet,neg,is_red,veale_simile,not_certain,0.1833306736336641
elm,neg,is_green,cslb,not_certain,0.18358996876520028
tank,neg,is_green,cslb,not_certain,0.1850017195976994
brick,neg,is_red,cslb mcrae,not_certain,0.18667838566961312
beets,neg,is_red,mcrae,not_certain,0.187624970838465
tar,neg,black,conceptnet,not_certain,0.18939467308008667
prune,neg,is_black,cslb,not_certain,0.190127513385555
fir,neg,is_green,cslb,not_certain,0.19098504321564483
clarinet,neg,is_black,cslb,not_certain,0.19573408687000363
indian,neg,is_red,veale_simile,not_certain,0.196584996711702
wine,neg,is_red,cslb,not_certain,0.1984603408253278
suit,neg,is_black,cslb,not_certain,0.20218682250291523
rook,neg,is_black,veale_simile,not_certain,0.20261481087019426
cider,neg,is_yellow,cslb,not_certain,0.20293430176999497
tomatoes,neg,red,conceptnet,not_certain,0.2047497966904768
rice,neg,black,conceptnet,not_certain,0.20482326475646337
piano,neg,is_black,cslb,not_certain,0.20683572049691096
pyramid,neg,is_yellow,cslb,not_certain,0.20855144687061947
tires,neg,black,conceptnet,not_certain,0.20888801361656778
cars,neg,red,conceptnet,not_certain,0.21052496026520795
car,neg,red green,conceptnet,not_certain,0.21142604721930897
taxi,neg,is_yellow is_black,cslb,not_certain,0.21196368940649526
pit,neg,is_black,veale_simile,not_certain,0.2128972783519456
pot,neg,is_black,veale_simile,not_certain,0.21329947539746244
cricket,neg,is_green,cslb,not_certain,0.21350916798587635
beehive,neg,is_yellow,mcrae,not_certain,0.2143349326064582
artichokes,neg,green,conceptnet,not_certain,0.21575924853360479
jeep,neg,is_green,cslb,not_certain,0.21889921713978394
barn,neg,is_red,mcrae,not_certain,0.2190431446583945
bloodstone,neg,red,conceptnet,not_certain,0.22025009265261616
cape,neg,is_black,mcrae,not_certain,0.2202713605871656
leek,neg,is_green,cslb,not_certain,0.22159040466063532
grape,neg,is_green green is_red,cslb conceptnet,not_certain,0.22270875410325952
beer,neg,is_yellow,cslb,not_certain,0.22335018769421205
humans,neg,black,conceptnet,not_certain,0.223888684121303
cheese,neg,is_yellow,cslb,not_certain,0.22595166142828904
lawn,neg,green,conceptnet,not_certain,0.22613890199820957
limousine,neg,is_black,cslb,not_certain,0.22720583885309834
gherkin,neg,is_green,cslb,not_certain,0.22831131781563707
sandpaper,neg,is_yellow,cslb,not_certain,0.23063103142748825
coffee,neg,is_black,cslb,not_certain,0.23459662888449492
yoyo,neg,red,conceptnet,not_certain,0.23488943644566848
truffles,neg,black,conceptnet,not_certain,0.23584202969832266
beetroot,neg,is_red,veale_simile,not_certain,0.2363866092346985
jam,neg,is_red,cslb,not_certain,0.24000991164691748
heart,neg,is_red,cslb,not_certain,0.2408515172052341
feelings,pos,pos_met,manually_included,certain,0.24086227192598522
aubergine,neg,is_green,cslb,not_certain,0.2411376219771961
oven,neg,is_black,veale_simile,not_certain,0.2414869381002538
wand,neg,is_black,cslb,not_certain,0.24156714610362878
couch,neg,black,conceptnet,not_certain,0.2415883229477589
apples,neg,red green yellow,conceptnet,not_certain,0.2423920361760649
moss,neg,is_green,cslb,not_certain,0.24262713196242253
corn,neg,is_yellow,cslb,not_certain,0.2431093145313535
cinder,neg,is_black,veale_simile,not_certain,0.24421498112711704
calf,neg,is_black,cslb,not_certain,0.2444340781531979
nightmare,neg,is_black,veale_simile,not_certain,0.24712863266532817
peas,neg,is_green green,cslb conceptnet,not_certain,0.2481554219514315
panther,neg,is_black,cslb veale_simile,not_certain,0.25049902299012416
champagne,neg,is_yellow,cslb,not_certain,0.251218011402296
robin,neg,is_red,cslb,not_certain,0.25161864692220204
fox,neg,is_red,cslb veale_simile,not_certain,0.2518003798166383
berry,neg,is_red,veale_simile,not_certain,0.25184132043987895
grapes,neg,red green,conceptnet,not_certain,0.2520099560893318
bra,neg,is_black,mcrae,not_certain,0.25220456196378993
ketchup,neg,is_red,cslb,not_certain,0.252598723993903
spinach,neg,is_green,cslb,not_certain,0.2529841153754697
raisin,neg,is_black,cslb,not_certain,0.2550965370158381
jaguars,neg,black,conceptnet,not_certain,0.25520999371166553
tongue,neg,is_red,cslb,not_certain,0.25576035593720775
sycamore,neg,is_green,cslb,not_certain,0.2563170480487741
pomegranates,neg,red,conceptnet,not_certain,0.2566088127822622
butter,neg,is_yellow yellow,cslb conceptnet,not_certain,0.2584575584536783
pears,neg,green,conceptnet,not_certain,0.25849405297349054
bear,neg,is_black,cslb mcrae,not_certain,0.25980881421935614
locust,neg,is_yellow,cslb,not_certain,0.2599243491511518
celery,neg,is_green,cslb,not_certain,0.2603262118267746
rose,neg,red is_red,cslb conceptnet veale_simile,not_certain,0.2604378961569938
avocado,neg,is_green,cslb mcrae,not_certain,0.260689777125875
rhubarb,neg,is_green is_red,cslb,not_certain,0.26156491598044174
weeds,neg,green,conceptnet,not_certain,0.26257097232835175
broccoli,neg,is_green green,cslb conceptnet mcrae,not_certain,0.26286842372980007
corncob,neg,yellow,conceptnet,not_certain,0.2630628284131505
beans,neg,is_green is_yellow,mcrae,not_certain,0.2633040121676455
apple,neg,red is_green is_yellow green is_red,cslb conceptnet mcrae veale_simile,not_certain,0.2638107841990496
jay,pos,is_blue,veale_simile,not_certain,0.26381714258687644
mustard,neg,yellow,conceptnet,not_certain,0.2647300171898297
ring,pos,blue,conceptnet,not_certain,0.2648543921840265
sheep,neg,is_black,cslb,not_certain,0.26500866667832124
flea,neg,is_black,cslb,not_certain,0.2679368700129601
daffodil,neg,is_yellow,cslb veale_simile,not_certain,0.26826341859633157
bean,neg,is_green,cslb,not_certain,0.2691906399923617
sunbeam,neg,is_yellow,veale_simile,not_certain,0.27144795399801946
night,neg,is_black black,conceptnet veale_simile,not_certain,0.27170928290148594
shy,pos,blue,conceptnet,not_certain,0.27222441538833336
lime,neg,is_green,cslb,not_certain,0.2725083656554743
