concept,label,categories_str,sources_str,certainty,cosine_centroid
debate,neg,neg_met,manually_included,certain,0.050825749977235574
discussion,neg,neg_met,manually_included,certain,0.05834735699589572
government,pos,pos_met,manually_included,certain,0.06489040350894211
argument,neg,neg_met,manually_included,certain,0.07228878287456598
policy,pos,pos_met,manually_included,certain,0.07702696867027672
world,neg,blue,conceptnet,not_certain,0.09497108847206433
problem,neg,neg_met,manually_included,certain,0.10018991266376233
agenda,pos,pos_met,manually_included,certain,0.11586349731731446
crypt,neg,is_black,veale_simile,not_certain,0.1219082832402898
newspaper,neg,is_black,cslb,not_certain,0.12343883646540994
recorder,neg,is_black,cslb,not_certain,0.12989661739708683
idea,pos,pos_met,manually_included,certain,0.13393879784001814
ring,neg,blue,conceptnet,not_certain,0.13713493522043346
party,pos,pos_met,manually_included,certain,0.1387833489277848
cape,neg,is_black,mcrae,not_certain,0.14053325325460914
bluejay,neg,is_blue,mcrae,not_certain,0.14065623621579218
bus,neg,is_yellow is_red,cslb mcrae,not_certain,0.1419347162202373
shy,neg,blue,conceptnet,not_certain,0.14214300385815878
tyre,neg,is_black,cslb,not_certain,0.1425272623802776
night,neg,is_black black,conceptnet veale_simile,not_certain,0.14520076434302176
football,neg,is_black,cslb,not_certain,0.1471622428706595
jay,neg,is_blue,veale_simile,not_certain,0.15449748365009205
suit,neg,is_black,cslb,not_certain,0.15830636041236149
rook,neg,is_black,veale_simile,not_certain,0.15940109884617898
robin,neg,is_red,cslb,not_certain,0.1613708675614866
cannon,neg,is_black,mcrae,not_certain,0.1650458038599867
ambulance,neg,is_red,mcrae,not_certain,0.16583119402805718
indian,neg,is_red,veale_simile,not_certain,0.1661884499884355
taxi,neg,is_yellow is_black,cslb,not_certain,0.1670489275328918
tar,neg,black,conceptnet,not_certain,0.1767270541643198
sun,neg,is_yellow,veale_simile,not_certain,0.179259259562234
heart,neg,is_red,cslb,not_certain,0.1795318252033151
clarinet,neg,is_black,cslb,not_certain,0.18136591553932957
fox,neg,is_red,cslb veale_simile,not_certain,0.18563827624572007
pit,neg,is_black,veale_simile,not_certain,0.18588147408482442
jeans,neg,is_black is_blue,cslb,not_certain,0.1866342074382805
bloodstone,neg,red,conceptnet,not_certain,0.18809903098179045
car,pos,red green,conceptnet,not_certain,0.19063496104787733
bra,neg,is_black,mcrae,not_certain,0.19094020440812423
pyramid,neg,is_yellow,cslb,not_certain,0.1911513428708848
sky,neg,blue is_blue,conceptnet veale_simile,not_certain,0.192824522448114
blackboard,neg,is_black,veale_simile,not_certain,0.19529214329319866
piano,neg,is_black,cslb,not_certain,0.1977894700791087
panther,neg,is_black,cslb veale_simile,not_certain,0.19913565948346862
wand,neg,is_black,cslb,not_certain,0.20062460811370578
tank,pos,is_green,cslb,not_certain,0.20108780088023923
humans,neg,black,conceptnet,not_certain,0.20115484561764652
cloak,neg,is_black,cslb,not_certain,0.20156683345125834
sunbeam,neg,is_yellow,veale_simile,not_certain,0.20418673797164816
eye,pos,is_green is_blue,cslb,not_certain,0.20596617201228226
limousine,neg,is_black,cslb,not_certain,0.20627341069729682
cars,neg,red,conceptnet,not_certain,0.20695929144975755
nightmare,neg,is_black,veale_simile,not_certain,0.20748681030566454
cricket,pos,is_green,cslb,not_certain,0.20914085120119197
diamond,neg,blue,conceptnet,not_certain,0.21101726150714367
raven,neg,is_black,cslb veale_simile,not_certain,0.21303953291113545
jeeps,neg,red,conceptnet,not_certain,0.21364358110956344
dress,neg,blue,conceptnet,not_certain,0.21460335969998973
jaguars,neg,black,conceptnet,not_certain,0.21685982188577838
leafs,pos,green,conceptnet,not_certain,0.2184482367612639
tires,neg,black,conceptnet,not_certain,0.21873978047633205
lantern,neg,is_black,cslb,not_certain,0.2199461974659294
miner,neg,is_black,veale_simile,not_certain,0.2247024979439642
beehive,neg,is_yellow,mcrae,not_certain,0.22489635953134918
cheetah,neg,is_yellow,cslb,not_certain,0.22491103735452117
coal,neg,is_black,veale_simile,not_certain,0.22722343742884185
hose,pos,is_green,cslb,not_certain,0.22754844092753018
leopards,neg,black,conceptnet,not_certain,0.2283573175538731
yoyo,neg,red,conceptnet,not_certain,0.22919789799052084
rhino,neg,is_black,cslb,not_certain,0.23020018456561103
calf,neg,is_black,cslb,not_certain,0.23149602991075072
gown,neg,is_black,cslb,not_certain,0.23305377823872642
cinder,neg,is_black,veale_simile,not_certain,0.23535220217484118
bear,neg,is_black,cslb mcrae,not_certain,0.23633191486520097
lion,neg,is_yellow,cslb,not_certain,0.2369246897309249
starling,neg,is_black,cslb,not_certain,0.2372595593173659
parka,pos,is_green,cslb,not_certain,0.23771079023411257
iceberg,neg,is_blue,veale_simile,not_certain,0.23825537744132713
jeep,pos,is_green,cslb,not_certain,0.2382971627482654
clothing,neg,red,conceptnet,not_certain,0.23872281143926793
hornet,neg,is_yellow is_black,cslb,not_certain,0.2393298531587958
rose,neg,red is_red,cslb conceptnet veale_simile,not_certain,0.24253998171749067
eyes,pos,green blue,conceptnet,not_certain,0.24338494209268538
thundercloud,neg,is_black,veale_simile,not_certain,0.24401518041633768
couch,neg,black,conceptnet,not_certain,0.2441290098490893
barn,neg,is_red,mcrae,not_certain,0.24467818721307757
ruby,neg,red is_red,conceptnet veale_simile,not_certain,0.24497678638216497
brick,neg,is_red,cslb mcrae,not_certain,0.246232308216597
crow,neg,is_black,veale_simile,not_certain,0.2469985536114638
stockings,neg,is_black,cslb,not_certain,0.2499667534198331
lark,neg,is_blue,veale_simile,not_certain,0.2513973835874342
tiger,neg,is_black,cslb,not_certain,0.2514323850997568
tongue,neg,is_red,cslb,not_certain,0.2522053105342483
ink,neg,black,conceptnet,not_certain,0.2532785527290982
flame,neg,is_red,veale_simile,not_certain,0.25335649734110655
sapphire,neg,blue,conceptnet,not_certain,0.25364308699898575
jade,pos,green,conceptnet,not_certain,0.2581529914581108
champagne,neg,is_yellow,cslb,not_certain,0.25841687579631345
paint,pos,pos,manually_included,certain,0.2608090862433642
wetsuit,neg,is_black,cslb,not_certain,0.26099353406153514
umbrellas,neg,blue,conceptnet,not_certain,0.2624459760992648
pelican,neg,is_black,cslb,not_certain,0.26430213953624443
cats,neg,black,conceptnet,not_certain,0.2674536369199134
