"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"canada"	"neg"	"cold"	"conceptnet"	"not_certain"	0.0917911532	3
"people"	"neg"	"cold"	"conceptnet"	"not_certain"	0.1092957826	2
"bob"	"neg"	"cold"	"conceptnet"	"not_certain"	0.1323967942	
"problem"	"neg"	"neg_met"	"manually_included"	"certain"	0.154027312	
"thought"	"neg"	"neg_met"	"manually_included"	"certain"	0.1629470612	
"alaska"	"neg"	"cold"	"conceptnet"	"not_certain"	0.1754538623	
"space"	"neg"	"cold"	"conceptnet"	"not_certain"	0.184559048	
"toes"	"neg"	"cold"	"conceptnet"	"not_certain"	0.1850230625	
"noses"	"neg"	"cold"	"conceptnet"	"not_certain"	0.1895070935	
"river"	"neg"	"cold"	"conceptnet"	"not_certain"	0.2056323843	
"winter"	"neg"	"cold"	"conceptnet"	"not_certain"	0.2078351414	
"argument"	"pos"	"pos_met"	"manually_included"	"certain"	0.2101217559	
"puzzle"	"neg"	"neg_met"	"manually_included"	"certain"	0.2216247615	
"happiness"	"neg"	"neg_met"	"manually_included"	"certain"	0.2294258792	
"vinyl"	"neg"	"cold"	"conceptnet"	"not_certain"	0.2382226739	
"table"	"neg"	"neg"	"manually_included"	"certain"	0.242080788	
"outfit"	"pos"	"pos_met"	"manually_included"	"certain"	0.2425027569	
"moon"	"neg"	"cold"	"conceptnet"	"not_certain"	0.2677695218	
"anger"	"pos"	"pos_met"	"manually_included"	"certain"	0.2683021382	
"cindy"	"pos"	"hot"	"conceptnet"	"not_certain"	0.2751709587	
"icicles"	"neg"	"cold"	"conceptnet"	"not_certain"	0.2849239537	
"jungles"	"pos"	"hot"	"conceptnet"	"not_certain"	0.2910641904	
"tile"	"neg"	"cold"	"conceptnet"	"not_certain"	0.2953767603	
"basement"	"neg"	"is_cold"	"mcrae"	"not_certain"	0.2999759125	
"venus"	"pos"	"hot"	"conceptnet"	"not_certain"	0.302233105	
"summertime"	"pos"	"hot"	"conceptnet"	"not_certain"	0.3083180731	
"bikini"	"pos"	"pos_met"	"manually_included"	"certain"	0.3088815748	
"ice"	"neg"	"cold"	"conceptnet"	"not_certain"	0.3120209681	
"lemonade"	"neg"	"is_cold"	"cslb"	"not_certain"	0.3454337125	
"bath"	"pos"	"is_hot"	"cslb"	"not_certain"	0.347314228	
"lightning"	"pos"	"hot"	"conceptnet"	"not_certain"	0.3521782163	
"water"	"neg"	"cold"	"conceptnet"	"not_certain"	0.3539392564	
"beer"	"neg"	"is_cold"	"cslb"	"not_certain"	0.3613596041	
"fridge"	"neg"	"is_cold"	"cslb"	"not_certain"	0.3674442759	
"lava"	"pos"	"hot"	"conceptnet"	"not_certain"	0.3759058779	
"coals"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3787013067	
"bulb"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3787682486	
"pastry"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3790124385	
"chilled"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3791587778	
"geysers"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3795177297	
"chhena"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.379580292	
"melted"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.379581881	
"blastpipe"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3797686822	
"skillets"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3802018906	
"igniter"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3802040861	
"utensil"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3804196613	
"lefse"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3805748475	
"tubs"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3806077645	
"syrup"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3808134509	
"glass"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3808709262	
"coolers"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3810717465	
"bagoong"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3811722505	
"campfire"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3813138026	
"candies"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3813727618	
"meat"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3814008152	
"liquid"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3817558751	
"toast"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.381991367	
"bathroom"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3821092937	
"flowerpots"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3821975945	
"jugs"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3823600176	
"fruitcake"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3829789421	
"furnaces"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3830417052	
"pancakes"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3830659418	
"showers"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3833039898	
"achiote"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3833688998	
"garlic"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3833849373	
"sanitizer"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3835740205	
"sauteed"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3836371993	
