label,categories_str,sources_str,certainty,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa
neg,neg,manually_included,certain,0.4103468128,-,True,-,tortoise,tortoise,3936,True,True,True,0,0,1,1.0,1.0,mon,non-met,conc,True,602,415,
neg,neg,manually_included,certain,0.4550964871,-,True,-,turtle,turtle,14449,True,True,True,0,0,4,0.2,0.27391304347826084,poly,,conc,True,644,509,
neg,fish,wn_hypernym,not_certain,0.2703597696,-,True,-,chinook,chinook,3233,True,True,True,2,0,5,0.09090909090909091,0.1974949494949495,poly,,abs-conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.2046064807,-,True,-,seal,seal,35642,True,True,True,6,16,15,0.09523809523809523,0.27962022170964856,homonyms_also_same_pos,met non-met,abs-conc,True,587,482,328
neg,fish,wn_hypernym,not_certain,0.126630845,-,True,-,mola,mola,825,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
neg,fish,wn_hypernym,not_certain,0.3802671413,-,True,-,amberjack,amberjack,143,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.5097005047,-,True,-,mangabey,mangabey,165,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.337194869,-,True,-,titi,titi,839,True,True,True,2,0,3,0.4444444444444444,0.6018518518518519,,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.188944,-,True,-,toy,toy,23496,True,True,True,3,1,8,0.25,0.5069753002415541,poly,met non-met,conc,True,567,550,164
neg,mammal,wn_hypernym,not_certain,0.2048607811,-,True,-,ass,ass,6319,True,True,True,2,0,6,0.17391304347826086,0.2900971444014922,homonyms_also_same_pos,non-met,abs-conc-n,True,,,
neg,fish,wn_hypernym,not_certain,0.1962724431,-,True,-,haddock,haddock,1663,True,True,True,1,0,2,0.17391304347826086,0.17391304347826086,mon,,conc,True,636,475,389
neg,mammal,wn_hypernym,not_certain,0.3526136186,-,True,-,monkey,monkey,17203,True,True,True,2,0,4,0.25,0.3858695652173913,poly,met non-met,conc,True,566,531,
neg,fish,wn_hypernym,not_certain,0.3830181876,-,True,-,grouper,grouper,857,True,True,True,1,0,2,0.18181818181818182,0.18181818181818182,,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.1520438565,-,True,-,chow,chow,4843,True,True,True,1,0,3,0.09523809523809523,0.14503579209461562,homonyms_also_same_pos,,abs-conc,True,443,298,561
neg,fish,wn_hypernym,not_certain,0.3036757507,-,True,-,plaice,plaice,281,True,True,True,1,0,2,0.14814814814814814,0.14814814814814814,mon,,conc,True,314,149,
neg,mammal,wn_hypernym,not_certain,0.3340813094,-,True,-,giraffe,giraffe,2010,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,381,
neg,fish,wn_hypernym,not_certain,0.1260947729,-,True,-,rudd,rudd,5219,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.2684570707,-,True,-,ape,ape,4976,True,True,True,3,0,5,0.16666666666666666,0.4816252587991718,homonyms_only_different_pos,,conc,True,654,547,
neg,mammal,wn_hypernym,not_certain,0.3801506502,-,True,-,armadillo,armadillo,1497,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,558,181,
neg,mammal,wn_hypernym,not_certain,0.3693223257,-,True,-,howler,howler,904,True,True,True,2,0,3,0.08333333333333333,0.1414141414141414,mon,,abs-conc,True,366,359,478
neg,mammal,wn_hypernym,not_certain,0.186071729,-,True,-,basset,basset,1639,True,True,True,0,0,2,None,,mon,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.3376227583,-,True,-,lynx,lynx,6514,True,True,True,1,0,2,0.07142857142857142,0.07142857142857142,mon,,conc-n,True,568,301,511
neg,mammal,wn_hypernym,not_certain,0.4662518028,-,True,-,lemur,lemur,2842,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.1339798494,-,True,-,stock,stock,108833,True,True,True,11,17,27,0.08333333333333333,0.28307044946831506,homonyms_only_different_pos,non-met,abs-conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.2447823104,-,True,-,razorback,razorback,888,True,True,True,2,0,3,0.7096774193548387,0.7096774193548387,poly,,conc,True,,,
neg,fish,wn_hypernym,not_certain,0.3457182899,-,True,-,toadfish,toadfish,393,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
neg,fish,wn_hypernym,not_certain,0.4937604802,-,True,-,goatfish,goatfish,114,True,True,True,0,0,1,0.8823529411764706,0.8823529411764706,,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.2684938832,-,True,-,silverback,silverback,210,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.1285041189,-,True,-,watchdog,watchdog,2686,True,True,True,1,0,2,0.5714285714285714,0.5714285714285714,poly,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.2235132928,-,True,-,pussy,pussy,1873,True,True,True,2,0,3,0.2,0.2,homonyms_also_same_pos,,conc,True,,,
neg,mammal,wn_hypernym,not_certain,0.3509616877,-,True,-,bobcat,bobcat,1596,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,,
