"property_name"	"search_term"	"source"	"label"	"selection"
"lay_eggs"	"does_lay_eggs"	"cslb"	"pos"	
"lay_eggs"	"does_lay_eggs"	"cslb_crowd_pos"	"pos"	
"lay_eggs"	"does_lay_eggs"	"cslb_crowd_neg"	"neg"	
"lay_eggs"	"bird"	"wn_hypernym"	"pos"	"0,1"
"lay_eggs"	"fish"	"wn_hypernym"	"pos"	"0,1"
"lay_eggs"	"reptile"	"wn_hypernym"	"pos"	0
"lay_eggs"	"lay_eggs"	"conceptnet"	"pos"	"CapableOf"
"lay_eggs"	"lay_eggs"	"conceptnet"	"neg"	"NotCapableOf"
"lay_eggs"	"mammal"	"wn_hypernym"	"neg"	
"lay_eggs"	"lays_eggs"	"mcrae"	"pos"	
"fly"	"does_fly"	"cslb"	"pos"	
"fly"	"does_fly"	"cslb_crowd_pos"	"pos"	
"fly"	"does_fly"	"cslb_crowd_neg"	"neg"	
"fly"	"bird"	"wn_hypernym"	"pos"	
"fly"	"fish"	"wn_hypernym"	"neg"	
"fly"	"mammal"	"wn_hypernym"	"neg"	
"fly"	"vehicle"	"wn_hypernym"	"pos/neg"	
"fly"	"fly"	"conceptnet"	"pos"	"UsedFor"
"fly"	"fly"	"conceptnet"	"pos"	"CapableOf"
"fly"	"fly"	"conceptnet"	"neg"	"NotCapableOf"
"fly"	"flies"	"mcrae"	"pos"	
"swim"	"does_swim"	"cslb"	"pos"	
"swim"	"does_swim"	"cslb_crowd_pos"	"pos"	
"swim"	"does_swim"	"cslb_crowd_neg"	"neg"	
"swim"	"fish"	"wn_hypernym"	"pos"	
"swim"	"bird"	"wn_hypernym"	"neg"	
"swim"	"mammal"	"wn_hypernym"	"pos/neg"	
"swim"	"swim"	"conceptnet"	"pos"	"CapableOf"
"swim"	"swim"	"conceptnet"	"neg"	"NotCapableOf"
"swim"	"swims"	"mcrae"	"pos"	
"swim"	"reptile"	"wn_hypernym"	"pos/neg"	
"roll"	"does_roll"	"cslb"	"pos"	
"roll"	"is_round"	"cslb"	"pos"	
"roll"	"is_round"	"cslb_crowd_pos"	"pos"	
"roll"	"is_round"	"cslb_crowd_neg"	"neg"	
"roll"	"roll"	"conceptnet"	"pos"	"CapableOf"
"roll"	"roll"	"conceptnet"	"neg"	"NotCapableOf"
"roll"	"rolls"	"mcrae"	"pos"	
"roll"	"is_square"	"cslb"	"neg"	
"roll"	"is_square"	"cslb_crowd_pos"	"neg"	
"roll"	"round"	"conceptnet"	"pos"	"HasProperty"
"roll"	"round"	"conceptnet"	"neg"	"NotHasProperty"
