"property"	"search_term"	"source"	"label"	"selection"
"hot"	"is_hot"	"cslb_crowd_pos"	"pos"	
"hot"	"is_hot"	"cslb"	"pos"	
"hot"	"is_hot"	"mcrae"	"pos"	
"hot"	"hot"	"conceptnet"	"pos"	"HasProperty"
"hot"	"is_cold"	"cslb_crowd_pos"	"neg"	
"hot"	"is_cold"	"cslb"	"neg"	
"hot"	"is_cold"	"mcrae"	"neg"	
"hot"	"cold"	"conceptnet"	"neg"	"HasProperty"
"cold"	"is_hot"	"cslb_crowd_pos"	"neg"	
"cold"	"is_hot"	"cslb"	"neg"	
"cold"	"is_hot"	"mcrae"	"neg"	
"cold"	"hot"	"conceptnet"	"neg"	"HasProperty"
"cold"	"is_cold"	"cslb_crowd_pos"	"pos"	
"cold"	"is_cold"	"cslb"	"pos"	
"cold"	"is_cold"	"mcrae"	"pos"	
"cold"	"cold"	"conceptnet"	"pos"	"HasProperty"
"warm"	"is_warm"	"cslb_crowd_pos"	"pos"	
"warm"	"is_warm"	"cslb"	"pos"	
"warm"	"is_warm"	"mcrae"	"pos"	
"warm"	"warm"	"conceptnet"	"pos"	"HasProperty"
"warm"	"is_cold"	"cslb_crowd_pos"	"neg"	
"warm"	"is_cold"	"cslb"	"neg"	
"warm"	"is_cold"	"mcrae"	"neg"	
"warm"	"cold"	"conceptnet"	"neg"	"HasProperty"
"warm"	"is_cool"	"cslb_crowd_pos"	"neg"	
"warm"	"is_cool"	"cslb"	"neg"	
"warm"	"is_cool"	"mcrae"	"neg"	
"warm"	"cool"	"conceptnet"	"neg"	"HasProperty"
"sweet"	"is_sweet"	"cslb_crowd_pos"	"pos"	
"sweet"	"is_sweet"	"cslb"	"pos"	
"sweet"	"is_sweet"	"mcrae"	"pos"	
"sweet"	"sweet"	"conceptnet"	"pos"	"HasProperty"
"sweet"	"fruit"	"wn_hypernym"	"pos"	
"sweet"	"vegetable"	"wn_hypernym"	"neg"	
"sweet"	"is_fruit"	"cslb"	"pos"	
"sweet"	"is_vegetable"	"cslb"	"neg"	
"sweet"	"is_fruit"	"mcrae"	"pos"	
"sweet"	"is_vegetable"	"mcrae"	"neg"	
"sweet"	"is_food"	"cslb"	"pos/neg"	
"sweet"	"savory"	"conceptnet"	"neg"	"HasProperty"
"sweet"	"is_sweet"	"cslb_crowd_neg"	"neg"	
"sweet"	"sweet"	"conceptnet"	"neg"	"NotHasProperty"
"juicy"	"is_juicy"	"cslb_crowd_pos"	"pos"	
"juicy"	"is_juicy"	"cslb"	"pos"	
"juicy"	"is_juicy"	"mcrae"	"pos"	
"juicy"	"juicy"	"conceptnet"	"pos"	"HasProperty"
"juicy"	"fruit"	"wn_hypernym"	"pos"	
"juicy"	"vegetable"	"wn_hypernym"	"neg"	
"juicy"	"is_fruit"	"cslb"	"pos"	
"juicy"	"is_vegetable"	"cslb"	"neg"	
"juicy"	"is_fruit"	"mcrae"	"pos"	
"juicy"	"is_vegetable"	"mcrae"	"neg"	
"juicy"	"is_food"	"cslb"	"pos/neg"	
"juicy"	"sweet"	"conceptnet"	"neg"	"NotHasProperty"
"juicy"	"is_juicy"	"cslb_crowd_neg"	"neg"	
