name,indices
wiki_frequency_1,0 13 24 22 13 8 14 1 14 8 7 5 6 2 5 4 7 9 1 2 2 0 4 0 2 0 0 0 4 2 1 0 0 7 15 7 8 0 6 10 6 5 5 5 5 2 1 1 1 0
wiki_frequency_2,22 3 3 28 8 20 24 4 18 3 16 7 11 3 17 13 6 7 2 3 5 1 2 9 5 3 6 1 1 2 1 0
cosine_centroid_1,7 2 3 2 3 1 1 0 0 6 10 5 4 10 0 5 2 3 1 4 3 2 0 0 1 0 3 2 1 0
cosine_centroid_2,13 13 4 15 14 2 12 10 6 15 0 4 4 6 9 0 3 5 2 3 1 2 2 2 0 5 0 1 1 1 0
cosine_centroid_3,3 9 20 10 19 20 15 15 10 5 3 3 1 1 0 6 2 5 4 9 8 3 7 6 0 2 3 0 0
cosine_centroid_4,0 12 4 8 8 7 5 3 12 17 5 17 9 15 5 5 4 3 11 6 8 6 4 7 3 0 3 18 15
polysemy_1,12 4 25 18 12 22 10 13 12 2 3 1 1 0 6 3 7 7 2 6 6 5 6 0 0 3 2
polysemy_2,9 11 6 10 2 8 6 3 3 0 6 15 7 14 12 5 0 7 8 3 8 6 6 0 0 0 0
polysemy_3,7 0 16 25 22 14 9 10 5 4 15 1 12 14 1 1 1 0 0 1 3 3 3 2 10 5
polysemy_4,0 7 15 23 7 12 14 10 7 9 10 4 3 5 24 25 26 11 0 13 14 20 10 19
conc_1,0 15 12 2 22 3 4 15 15 15 9 7 8 7 6
conc_2,5 2 21 22 12 20 2 19 0 18 34 7 0 19
conc_3,3 12 0 0 35 24 8 16 1 0 1 0
fam_1,17 1 16 10 6 5 0 3 0
fam_2,4 39 9 2
fam_3,3 7 0
aoa_1,42 1
aoa_2,5
aoa_3,1
