name,indices
wiki_frequency_1,6 11 4 14 9 10 5 2 1 7 3 5 3 1 1 1 1 0 16 3 11 12 5 2 11 0 9 3 4 6 3 4 0 2 0 0 4 6 1 0 1 3 2 0 0
wiki_frequency_2,22 13 23 30 28 24 15 3 24 24 13 12 23 20 8 8 8 1 3 3 0 0 0 0 2 0 1 0 2 1 0 10 0 2
cosine_centroid_1,0 1 0 15 14 16 9 10 14 3 1 10 10 3 3 6 4 4 2 0 5 3 0 1 3 0 4 2 0 11 3 9
cosine_centroid_2,20 18 9 3 18 10 16 1 14 0 2 12 0 7 8 0 10 9 3 3 1 0 0 0 1 0
cosine_centroid_3,25 10 22 6 5 1 3 2 1 0 0 6 4 1 4 3 5 0 0 1 7 0 2 18 4 9
polysemy_1,7 3 8 8 13 14 15 2 0 8 8 2 5 3 3 3 3 0 7 3 3 1 0 1 19
polysemy_2,8 18 11 11 11 10 9 2 2 8 3 4 16 11 7 8 11 0 2 3 6 5 0 16
polysemy_3,13 6 4 13 7 13 12 3 13 5 0 6 10 5 3 5 4 1 8 0 0 4
polysemy_4,0 4 14 2 12 1 7 7 7 1 13 10 6 3 1 2 9 2 1 10
conc_1,19 20 4 7 17 8 13 6 16 10 8 6 3 2 3 4 0 3 23 20
conc_2,4 13 1 1 2 0 0 1 8 8 16 26 24 14 27 8 24
fam_1,24 0 2 10 13 10 10 27 22 3 21
fam_2,0 2 11 33 4 8 24 0
fam_3,10 23 39 0 1 1
aoa_1,33 1 1 0
aoa_2,1 0 4
aoa_3,3
